                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7261,                 3.2739,                      0,                 3.2836,                 1.3205,                0.88924,                0.83531,                 0.8734,                0.53548,                0.89698,                0.82049,                0.87479,                0.59427,                 1.0899,                0.98921,                      0,                0.94012,                0.93156,             0.00065934,             0.00065934,             0.00065934
                      2,                  1.122,                0.71753,                      0,                0.69195,                0.90979,                0.91293,                0.77799,                0.89065,                0.57549,                  0.865,                0.81258,                0.89069,                0.75619,                 1.0843,                0.72637,                      0,                 0.7502,                0.94708,              0.0012791,              0.0012791,              0.0012791
                      3,                 1.1123,                0.60428,                      0,                0.67827,                0.91189,                0.77051,                0.58542,                0.64783,                0.35047,                 0.7708,                0.58565,                0.64136,                0.50101,                 1.5412,                 2.5646,                      0,                  1.675,                 1.1607,              0.0018518,              0.0018518,              0.0018518
                      4,                 1.0674,                0.54348,                      0,                0.65558,                0.90547,                0.88505,                0.82217,                0.89028,                0.57387,                 0.8803,                0.81932,                0.88901,                0.81711,                 1.0206,                0.46368,                      0,                0.83619,                0.89853,              0.0017879,              0.0017879,              0.0017879
                      5,                 1.0077,                 0.4767,                      0,                0.60789,                0.89126,                0.90344,                0.73426,                0.83325,                0.54391,                0.90365,                0.74747,                0.84506,                0.78591,                0.99905,                0.47872,                      0,                0.74557,                0.89949,              0.0017879,              0.0017879,              0.0017879
                      6,                0.94047,                0.37576,                      0,                0.55708,                0.87542,                 0.9201,                0.87671,                0.94317,                0.64818,                0.91577,                0.87366,                  0.936,                0.88718,                0.86267,                0.29214,                      0,                0.53868,                0.86985,              0.0017171,              0.0017171,              0.0017171
                      7,                0.90999,                0.35967,                      0,                0.54224,                0.86718,                0.91688,                0.80388,                0.88166,                0.59797,                0.91252,                0.79924,                0.87534,                0.83731,                0.89035,                0.34664,                      0,                  0.739,                0.87261,              0.0016464,              0.0016464,              0.0016464
                      8,                 0.8852,                  0.364,                      0,                0.51565,                0.86635,                0.93797,                0.86129,                 0.9374,                0.65424,                 0.9324,                0.85777,                0.93056,                0.88689,                0.81233,                0.27154,                      0,                0.48505,                 0.8514,              0.0015757,              0.0015757,              0.0015757
                      9,                0.84831,                0.33265,                      0,                0.49313,                0.85667,                0.91595,                 0.8901,                0.94602,                0.68749,                0.91392,                0.88243,                0.93685,                0.90035,                0.75535,                0.24853,                      0,                0.46076,                0.84316,               0.001505,               0.001505,               0.001505
                     10,                0.83297,                0.30999,                      0,                0.48404,                0.84972,                0.94115,                0.86262,                0.94319,                0.67712,                0.93993,                0.85953,                0.93878,                0.90165,                0.76448,                0.24754,                      0,                0.46214,                0.84143,              0.0014343,              0.0014343,              0.0014343
